zip,primary_city,acceptable_cities,state,county
11933,Calverton,"Baiting Hollow, Baiting Holw",NY,Suffolk County
11934,Center Moriches,Ctr Moriches,NY,Suffolk County
11935,Cutchogue,,NY,Suffolk County
11937,East Hampton,,NY,Suffolk County
11939,East Marion,,NY,Suffolk County
11940,East Moriches,,NY,Suffolk County
11941,Eastport,,NY,Suffolk County
11942,East Quogue,,NY,Suffolk County
11944,Greenport,,NY,Suffolk County
11946,Hampton Bays,,NY,Suffolk County
11947,Jamesport,,NY,Suffolk County
11948,Laurel,,NY,Suffolk County
11949,Manorville,,NY,Suffolk County
11950,Mastic,,NY,Suffolk County
11951,Mastic Beach,,NY,Suffolk County
11952,Mattituck,,NY,Suffolk County
11953,Middle Island,,NY,Suffolk County
11954,Montauk,,NY,Suffolk County
11955,Moriches,,NY,Suffolk County
11956,New Suffolk,,NY,Suffolk County
11957,Orient,,NY,Suffolk County
11958,Peconic,,NY,Suffolk County
11959,Quogue,,NY,Suffolk County
11960,Remsenburg,,NY,Suffolk County
11961,Ridge,,NY,Suffolk County
11962,Sagaponack,,NY,Suffolk County
11963,Sag Harbor,,NY,Suffolk County
11964,Shelter Island,Shelter Is,NY,Suffolk County
11965,Shelter Island Heights,Shelter Is Ht,NY,Suffolk County
11967,Shirley,"E Yaphank, East Yaphank, Smith Point",NY,Suffolk County
11968,Southampton,,NY,Suffolk County
11969,Southampton,,NY,Suffolk County
11970,South Jamesport,S Jamesport,NY,Suffolk County
11971,Southold,,NY,Suffolk County
11972,Speonk,,NY,Suffolk County
11973,Upton,,NY,Suffolk County
11975,Wainscott,,NY,Suffolk County
11976,Water Mill,,NY,Suffolk County
11977,Westhampton,,NY,Suffolk County
